episode,return,cost,emissions,safety_violations
37,-175249.02098897976,123539.66705234548,19878.827883594015,50
38,-200893.3799261044,211634.84223517388,27071.485947777066,41
39,-206979.54055354974,201484.70285075996,28103.170959120416,41
40,-166386.50177661164,123750.89378893298,19906.401576431832,55
41,-232013.79939839136,261112.40329286893,32705.15400335336,28
42,-164048.53809433812,147677.71259988612,21591.26320493734,41
43,-214348.85760690234,244241.66651054902,31653.556265167445,50
44,-216436.17167572517,241237.19143066305,29584.153890484275,38
45,-231337.6143056369,242038.53867483744,31027.510860656086,41
46,-184402.56405218752,199714.120374626,25396.53222155357,62
47,-170048.94817833175,186150.49856502694,24590.876979055676,65
48,-164859.98184896124,166732.73959830028,22155.597448105447,67
49,-171616.8417339997,149892.84001937657,21775.371459320606,52
50,-151973.8508883382,89506.66547082968,18759.84885584519,61
51,-224826.85130750245,248476.17493720152,31584.8301816125,49
52,-168445.37388414348,149590.29778015913,20724.561348198007,54
53,-187033.25405560245,151899.56668620472,22861.298021999504,44
54,-156571.05086413582,78568.02846396032,17076.402927449508,37
55,-160308.85509997007,74324.12536099352,16298.620130177827,46
56,-237058.38212655165,251054.6932117541,31549.200743993548,40
57,-167457.5250996437,132202.12111015682,20727.898706516004,48
58,-158765.04237816148,142425.02516740726,21116.008895442978,52
59,-223482.281545745,258619.25010738964,33581.978707160415,44
60,-156015.27146871717,135304.9291736038,20528.90023397552,59
61,-237441.63185555802,285506.5560215237,34745.26360547678,56
62,-244003.09587938094,291239.4504726766,35160.97337297535,53
63,-228575.07100960388,245319.4298858547,31048.72590548919,53
64,-151228.99880598547,130286.71284105112,19916.393557351883,73
65,-221793.6980836746,255467.2469818355,32557.16726763845,62
66,-249199.67462350475,310286.5073995752,34838.85369521138,65
67,-164130.73941822507,129995.18884507501,22039.198409542536,68
68,-236942.91156810647,308246.173665093,36043.23691990454,74
69,-178840.00740267814,160928.72001316622,24463.251321391195,69
70,-187138.9403189673,185131.40231460394,26606.80056404374,67
71,-265680.5870285752,334650.2141266625,39015.557056548954,62
72,-186156.55893093342,158268.88793714403,23338.074195062592,69
73,-227592.61585853275,275380.1837596603,34827.072663108,69
74,-152873.62291798482,121799.79903358956,19669.716504817854,80
75,-182471.23973407582,138749.41210265417,22866.825622039767,66
76,-212303.2372567522,266978.2088832969,33002.659868804134,79
77,-231518.1614795257,266798.79714092927,32854.99935945644,76
78,-212337.00795820422,249277.07452591273,30311.421732608567,76
79,-235131.15609443013,290399.70443954435,35991.07125062602,66
80,-245449.85548387104,310896.1814430012,36141.28355112764,56
81,-174962.63948649904,152569.08129061587,23078.60043527546,78
82,-259799.29547281459,318962.4413902474,37164.802307501,77
83,-181360.1096703098,148716.63634111278,23517.96605172884,75
84,-184362.4508536287,185905.225595846,25220.721456870935,77
85,-240490.8735064058,284486.207134518,35624.22661985884,73
86,-167387.98272280462,144832.05147247785,21392.65470105678,75
87,-151169.0390336209,90443.33769659177,20354.249837065083,73
88,-156715.0538747277,116257.87205662562,20548.70482885021,80
89,-160280.0484523636,167523.28316067412,24340.0107017162,86
90,-194759.15796464047,222579.1233441482,29451.75006437748,80
91,-210410.39870393625,242649.91446967254,30753.42163745876,67
92,-212453.9196017649,248646.3578535761,31575.674062285,77
93,-214814.1356481497,252883.70525717546,31247.017864918693,74
94,-147406.83376608093,100034.18627230958,20372.215395799954,78
95,-202700.71414809482,243610.59826058542,29409.312785855047,72
96,-241218.74393746944,279088.10888261587,33933.241311307684,75
97,-187521.3472732766,172502.31826073205,24705.641967625186,59
98,-159150.44572063736,155503.31317655923,21958.802072070794,77
99,-150223.14337516786,120876.8440548901,19818.59524222627,75
100,-169182.41518175695,171201.62809296133,23213.70273507782,75
101,-198637.2161032829,227713.5213045379,30290.375812499868,76
102,-242283.73251520033,319819.2513643866,36453.17066104363,71
103,-129348.51183678629,101677.30196816358,16770.273810359766,78
104,-160553.1503274758,167111.89937431895,22846.839007383984,84
105,-161189.93534783184,157321.93193303238,24846.17876511469,84
106,-145676.54374354228,100756.25325134392,18048.650099233346,80
107,-220418.9925740354,271039.6200170504,33437.98167369957,72
108,-154264.92692570575,122373.26792789328,20207.254012115984,73
109,-129927.91173753615,65497.01677185304,16881.773510375337,75
110,-248668.60920200974,292202.26099328534,34227.91786908941,48
111,-201249.57104850438,207830.15695948942,28347.762748244677,67
112,-120212.3763593736,74274.32729371231,17298.405605649074,86
113,-260447.1200946743,318461.86689005414,36501.532104812846,64
114,-115300.52481220721,53230.254317123436,14205.107876273747,77
115,-170932.3949728668,168540.8074570605,23431.70777030122,65
116,-206182.98287403648,221822.22534191704,29035.68397624373,65
117,-151292.16316733818,135618.37445604624,20678.81850895287,70
118,-131860.40283759605,106434.90365962902,17451.813101569085,75
119,-233849.792093935,303403.69094311894,35447.93615098149,62
120,-213920.20014549128,248889.6257334233,32350.076843001192,63
121,-213973.55434332445,251693.79551995618,32356.914937946574,63
122,-223429.98985500308,236905.27980634154,32226.930539481342,59
123,-197729.65680114293,198850.50813975252,27872.21338813659,66
124,-168406.48703323436,164052.63021476273,22646.02665116267,70
125,-121387.45625933986,93633.88867240146,16326.487846218915,78
126,-220490.22123199803,257840.3246763947,33299.5215874873,59
127,-140688.8419734518,93420.03698396945,17909.0336670127,64
128,-124649.9860878787,92375.84506277637,15466.099273330252,63
129,-180036.2149727552,223159.02686308578,26946.15652666348,71
130,-225034.90873994076,256093.432280641,32167.716414406816,54
131,-234455.37354858822,302285.1634437692,34682.41064947542,55
132,-103120.25666417136,37389.90414294371,14294.74039069705,87
133,-162523.1683694152,151931.21421594924,21965.201762683733,68
134,-214180.81271172664,266478.6267107786,33413.008618748616,65
135,-149488.21043287084,127265.54810363098,20713.61668595312,73
136,-190070.9607696462,214392.19617945762,27905.953041496236,66
137,-251350.84072300282,286532.5230017364,33992.16580822457,49
138,-204564.19898357478,245028.97478768142,30574.04551156254,58
139,-222753.0419528648,257245.0000883691,32051.571103704286,66
140,-237209.40158696283,278831.9549047037,33445.239285373864,51
141,-118869.71012573704,49873.09341379637,15348.932100444654,75
142,-138778.66267183222,77182.67215469069,16225.461927499451,70
143,-171895.37860116424,180879.90665313735,25770.38815005699,77
144,-220672.60799488425,245601.6072378661,31533.22574300233,66
145,-189060.04704640424,206783.03098948137,27463.38756962562,68
146,-130861.02577587593,104922.44918596937,17197.248728732673,77
147,-149937.5606925515,94482.4228468821,18419.659716686092,65
148,-131463.93435208974,70809.39407447694,18151.989867677294,79
149,-139660.30365214686,50136.44117341829,17016.892695384013,61
150,-136174.34266756385,72565.78167823961,17983.725989102815,75
151,-123356.2422731713,84216.17038767366,15987.067493308834,70
152,-130793.193732781,57805.94549030385,15769.953038155281,75
153,-225784.42245784635,277820.45274341234,33168.240672393265,70
154,-194096.30819852636,218302.73133271938,29087.897567010703,69
155,-160733.2352505484,99484.46545033247,21706.493435726898,70
156,-224040.86878404202,275686.3032905802,34121.72304154344,63
157,-210699.77009064844,224600.89821811655,30205.34556013497,70
158,-123539.97380318202,92026.31506768592,16035.495232351126,75
159,-145886.55710051645,104898.22067274587,19074.413820579757,78
160,-136081.8159814002,30569.871204509513,16025.196077973504,66
161,-123010.34507859036,34866.607548870634,14299.987138468268,74
162,-140419.8209094935,132381.21333028018,19442.96017684767,75
163,-129303.95863942798,101512.52364303712,16944.367827377257,80
164,-129459.13102539716,38989.50627634028,15550.415673964879,76
165,-237238.80464529333,290421.487507813,33692.49018970416,62
166,-149460.14094182054,158937.1467969861,22141.716654835363,74
167,-242418.51379161805,258253.56108153824,33787.80749599569,56
168,-169674.94796642388,206038.46114624914,25781.159776330125,80
169,-121111.68066168434,49714.49761445703,15461.37872853176,79
170,-231953.4853663436,272634.4600119477,32097.857470732783,76
171,-203155.5640545342,202415.69360913898,29192.264200079917,69
172,-227049.8812736617,282712.1577289319,34261.7508157642,71
173,-153913.93753568496,157247.0213876294,21629.940175526248,76
174,-214933.1559270093,232753.5482286512,29847.006642646153,74
175,-229999.81564635455,290420.6632478366,33642.85922538247,70
176,-209729.50912199428,212079.16485667962,27570.955178433323,66
177,-121819.98163518301,56102.70658086578,16739.508561346436,86
178,-202635.89901538912,205066.24862618942,28433.35146683541,65
179,-138790.9290230833,84950.17030975918,18050.246015002187,73
180,-218562.90927430106,241683.22604553326,29801.89328390898,62
181,-110145.65598321735,58244.17367869017,12793.40181949639,78
182,-218349.26727530532,242969.39670505936,29421.131908816606,58
183,-149401.26492764466,112802.50628315716,19653.26494602604,74
184,-220877.18405316275,249133.73792786288,32549.89825782043,71
185,-227108.60808207438,256891.02672952675,31049.758625136838,62
186,-251027.2301432229,319496.60664560157,36029.04032878531,73
187,-262743.0806175151,356874.4287316141,40290.92011035091,71
188,-158447.83356179643,84838.20260930592,18736.037008725107,67
189,-133678.99256152817,110730.91891606862,18131.1676344833,86
190,-201921.07629531878,189755.27928222914,27614.660717255123,65
191,-156840.86710342547,122273.11218165612,21171.143394075858,70
192,-171251.82148407822,124518.19509093784,21504.46499263467,72
193,-231579.0614170493,234314.58780030624,31237.102487317217,70
194,-140128.98249473306,104629.45062243368,17555.593323050038,78
195,-218813.39786075757,249697.3633788709,30405.7912320105,72
196,-203689.72815321654,227607.58799606617,30270.12938381067,67
197,-206703.01036889228,212821.3817217984,29060.864875368112,65
198,-145017.2568493543,58429.17218649282,18438.983240775167,76
199,-234892.11151445782,279701.9806707654,35171.18744200058,66
200,-133116.0101776133,80317.57567852942,15566.62512735531,73
201,-130237.28724200041,39743.160887371894,15118.571569378317,69
202,-206243.8174070603,219788.7796515152,30359.94997203511,81
203,-268380.1595892298,309189.30350397987,35910.26068026171,56
204,-199327.2734311088,201044.18103826846,28000.457957217342,66
205,-152842.35150356806,87223.27861182306,18034.646269784804,77
206,-156716.9917049327,154586.6477549098,22919.924652706897,74
207,-242752.64434513435,273508.01315299823,32114.210022019837,57
208,-213213.4347574908,233722.01784496623,29204.441018165275,59
209,-247728.60828490494,308326.24326287356,35408.94618654444,64
210,-232341.34111203707,241010.33108449896,30605.292364735848,54
211,-212988.84527510908,214621.39248817688,29480.694709567288,62
212,-223442.60144899256,234639.40834314664,30112.52360883554,65
213,-127543.47361528888,56646.56351872237,13825.229745172222,64
214,-181864.30109920504,187179.85502029277,25263.43708554735,75
215,-142235.7164357727,50187.38101477364,16890.605602228774,73
216,-178742.31764984428,163820.83570227178,23018.455842949046,71
217,-220378.99142681144,243262.97481496102,30292.458383087243,68
218,-162491.6078571633,104088.91465580663,19111.086881612857,66
219,-199716.64009212906,203549.45987989116,28016.02094862961,58
220,-207375.04640260793,186582.67296778454,27844.733688543478,62
221,-240368.09287780276,260046.76200136758,31180.37853473002,59
222,-188586.66321090548,159354.17243849224,22789.633635356327,63
223,-178508.3202257254,131955.2833329992,21775.92093573726,67
224,-222670.96451552404,239595.38839273443,30939.753271722333,61
225,-222573.06480521115,245457.1865048306,29838.343822012957,65
226,-250967.47088214592,284766.7399233542,35640.16529964359,60
227,-129938.2303206191,72902.31833242573,16000.53473508041,78
228,-207768.9022599992,197616.23323664625,26914.745519263306,60
229,-214752.41139268148,242025.6244368711,31413.346550106085,72
230,-263522.9887467982,299336.736573146,35065.39633821553,55
231,-222010.99355550215,228767.62644786132,31262.065741891805,66
232,-224856.76323766817,251214.6574362329,32541.8309085172,78
233,-222300.70818766204,239753.91986503472,31476.275538251342,62
234,-213690.44373557778,221642.6461137504,28706.458461576764,67
235,-206153.29143948076,192953.3081988678,27366.567813867012,61
236,-130046.07510620491,43853.747682822774,15450.853430736775,71
237,-209901.93571548135,219638.88425500548,30627.025907481875,68
238,-212610.00326169014,207612.65346884684,28348.728272197426,70
239,-236927.53347453845,265994.30120218673,32181.75488911053,72
240,-186732.81075591446,150932.61944568832,23418.112099216803,58
241,-121179.74332060726,50333.357471584655,16385.370415559897,81
242,-159823.4188640083,118743.77651350046,20854.891518887365,75
243,-247658.02798078148,253189.6867198399,34590.17932548504,68
244,-146013.3145909667,85872.65807979737,17640.553185180786,74
245,-155078.52424961346,114476.79562828018,20294.761578307858,78
246,-148819.71263855128,98756.13512167374,19014.88703083056,75
247,-241051.42401564278,249865.72144561255,33434.052208818015,67
248,-202054.75395347105,195139.66602988838,27487.90086596831,64
249,-208146.61777796462,227786.72390608123,29005.694065851927,69
250,-120127.37568878048,51884.67711898612,14425.906301270934,73
251,-150899.10433999365,124257.95040438662,20432.831007449116,73
252,-254165.76878201534,310571.5385096505,36716.40757046374,65
253,-134730.7639250407,86835.32858549342,16720.588953550057,81
254,-216711.51667407763,237017.96376719285,31712.869710032865,69
255,-150806.5117991071,98671.17442350854,19683.27699330071,71
256,-182131.0796119923,167127.28667112303,24721.36818154724,71
257,-185101.27476070067,181331.0425002816,26538.90060229521,70
258,-219281.80508499892,225377.62220593146,30484.253013946767,63
259,-151552.59324033317,135060.4265883888,20928.991093173743,77
260,-188919.61383309067,174016.37143740788,25892.759405846373,71
261,-243092.48373331022,264470.19084329583,31595.874699451717,56
262,-116157.96951480446,42494.29186264255,15382.813846979263,86
263,-176644.952270171,145473.78114627404,22827.3835349143,76
264,-195143.69644930892,179206.3964662068,26590.30596103498,80
265,-224844.39758286977,238400.18912008248,32523.381029136603,63
266,-188462.09352139954,163164.2326049143,24613.635660252836,72
267,-244344.39452222662,305799.16404763603,35557.341523440766,60
268,-168458.048677825,169304.3874662234,23415.037204138775,81
269,-239240.51157867472,280326.28145831276,34335.10952821013,68
270,-249889.3604944222,285567.79740730464,34132.050213704795,64
271,-132168.85487467423,92616.19391418353,17305.874155621696,70
272,-212797.67893216372,240609.39677547585,29716.02110864796,76
273,-142819.05909769138,60713.82421943072,18217.602885402775,71
274,-183704.43573179335,209202.45377323747,26382.02324871566,75
275,-151826.06325071413,121546.73762465616,20898.60255792808,79
276,-214996.00938070647,240364.44862054152,29958.963563687492,65
277,-154764.4802074122,138829.54027803263,21572.304790552254,80
278,-217565.6176354537,218554.6400344589,28307.431746695238,71
279,-142769.7766466359,81374.64424944823,20141.59283778611,80
280,-137469.29513704093,92561.9343006893,18703.63917177075,77
281,-111079.22444891761,29544.347667323054,14058.499606142426,78
282,-187413.9347006133,202482.55036400404,26409.749980080425,72
283,-228228.5813803798,249112.9316945458,30881.009211541557,67
284,-127298.02062541424,100213.63588256505,17099.942679483156,87
285,-119449.38090917928,36532.81622420705,15327.053550344295,77
286,-215392.98319525475,233411.33524999325,28328.72124392154,68
287,-189187.58965044763,209154.50285511182,27669.982913237054,76
288,-225645.859763822,221970.76749260005,31315.444823343056,57
289,-202002.64739147376,223075.67082414133,28401.815417351714,78
290,-152902.74059397719,106627.67321947996,20052.677430608102,74
291,-186887.18592094746,171251.13196517478,25373.07972892774,75
292,-180421.73319604102,183826.13724255274,25157.041992725153,79
293,-116044.34499935145,32888.04377505633,15374.268784540065,82
294,-143262.13858281777,102317.60857174452,18708.863796177076,72
295,-131333.09418752676,62940.9884712191,17996.547857900838,76
296,-155015.78798459392,166277.7361138984,23308.472558192065,80
297,-177504.88211633544,170167.73843760602,24866.047764559215,79
298,-217349.28065613864,257130.07051657286,30360.74102728598,69
299,-125914.88823035426,89447.77897128418,16859.169951464857,79
300,-116649.74991884959,110677.27444462731,17869.47912766838,88
301,-181257.63195776666,171294.09733348107,24751.962525136692,75
302,-202321.75365040763,233939.35295305835,29367.750059927122,69
303,-129092.47505356578,83123.49945963446,16504.220916962186,80
304,-198205.24123782036,202593.48246597184,27172.366658411178,73
305,-108755.70262938872,75956.05885088046,15593.260469164465,88
306,-118204.43382383593,78244.43655534099,15958.412649963748,84
307,-144479.9935880037,82658.20079209548,17447.94684239498,70
308,-174632.60656742196,215378.02771569422,27218.75916341666,74
309,-144051.86810572448,126506.7201800406,21228.291236964764,87
310,-216928.23079803603,236570.93337492956,29999.79751656543,64
311,-118345.52098645167,40000.74700139755,15566.002835160994,77
312,-141995.07247444463,76373.29501401696,19222.22483614494,74
313,-202614.62416489192,199786.71204537048,27775.23677958086,70
314,-191790.4101042852,248545.84050100305,30226.930318862047,80
315,-111283.32880054557,39936.816518659965,12533.45495721462,85
316,-125164.08545550845,61365.38758084453,15524.531391741757,76
317,-191787.42841232533,227114.74912714868,30617.81490424275,83
318,-172404.40063426676,215751.9775635347,27136.978722342108,80
319,-147936.7085358012,127337.62493002762,21185.378551717098,74
320,-203152.51066364013,247064.00529292593,31026.882794101053,81
321,-100226.76872171678,63153.962700134136,13900.166226857882,84
322,-101892.73268234271,65130.688041538684,13908.940901355454,88
323,-137738.89538538185,106771.58172733773,19244.883170695983,78
324,-124206.44568566371,92521.24630548716,16174.87384495554,82
325,-196962.70361371,209582.8036458157,29101.686916706996,74
326,-197496.40513906706,209333.74469670808,29023.3242406784,76
327,-112909.01486465824,96844.61792722074,16810.975414125372,82
328,-131084.35571039142,80725.12807004435,18281.97453117252,83
329,-191045.6646611425,204918.38430186725,27921.755115375516,72
330,-108210.75043143005,26190.508622792848,14200.617650793436,86
331,-200325.18621247023,235216.3503971064,31062.608959734058,72
332,-152644.86917908952,94938.30344595296,20605.29938848499,70
333,-132516.78611409376,97593.28898910241,18190.40261701964,76
334,-106315.16532428518,68000.55356881184,14363.194727366761,84
335,-94535.73252273703,36318.59151944756,11929.196275990633,84
336,-118475.18247974932,64037.62918070113,14652.838632047818,83
337,-129482.35841184511,93569.12076015818,18406.363555543805,87
338,-115735.85944156935,61469.300225037405,15171.765867205007,77
339,-165424.6091572274,164153.69014526685,23251.213086843225,81
340,-182842.63720377447,182171.65282299588,26317.29386129772,80
341,-181386.0767381084,172897.96867841762,25107.959368233405,70
342,-123220.1469128432,53774.053022674765,14836.180862542278,80
343,-161850.3570433473,162538.35763294558,23336.97376841987,80
344,-99016.02914346526,48232.166184706446,12231.273538648511,84
345,-144617.19421598816,123429.76070155554,19614.370254632577,86
346,-104029.17569089243,25667.54765079959,14405.105342477651,85
347,-195346.30740942457,217293.1769130868,29007.12337673646,72
348,-124687.17427152245,34050.925995552076,15894.017809532124,77
349,-192561.51002440194,237119.31766901517,27594.079173367543,72
350,-115462.651887957,82174.7214287667,15505.492338498176,86
351,-169932.9986277603,223765.8939609677,26638.57151813733,81
352,-124989.67059586853,83277.35385124126,17162.05615027652,77
353,-149314.8467484013,165730.8404052202,22484.62784237722,74
354,-122283.90543567165,77010.72713976036,16063.436879275167,76
355,-129485.5625891928,42180.83003070191,16935.01990857696,79
356,-184227.8583209864,226616.21053903954,27987.902451538568,85
357,-173273.9182465608,171428.97498872294,24792.855891846935,76
358,-213201.7913975724,235821.46394170483,29131.943808871285,66
359,-181014.3782328963,217450.76377424327,27234.506263490865,73
360,-155967.42964764807,154193.15257469128,22359.99587805585,80
361,-172985.22335542506,174365.663444554,24946.01301540312,79
362,-200176.16890548647,208069.31847659618,27978.960566343554,72
363,-177482.6857876561,157004.14593777418,25136.830601617636,79
364,-161693.1513018135,162913.16523593248,23693.486980674847,73
365,-198315.90080548913,206138.0639527474,28592.210894619144,75
366,-137272.72090356954,89769.70036965016,18472.81921404368,72
367,-119291.25649130286,19736.97760373788,14283.634615828356,73
368,-106818.39502911262,43513.07078679238,12673.401085261536,82
369,-163893.9728699625,162476.79534128096,22999.36350792833,82
370,-180563.19543098388,185665.21351983488,26138.593291698537,80
371,-103059.58144909564,41779.69865026639,13164.844027357869,85
372,-227503.056834331,272407.6283852123,32585.181811513838,75
373,-108091.48429479623,38752.530693276094,12098.337310519799,79
374,-132822.77580480816,78092.29800664593,16481.62376627767,80
375,-142452.75546392446,88487.20877213158,17600.66094815562,75
376,-105230.22343506658,23316.145528709974,13408.572822347489,86
377,-152452.19680947022,118087.67063698752,20399.037114594375,75
378,-207047.18024104662,257795.06417325122,30373.248295869456,77
379,-224015.05680884825,249354.82323627683,30157.22253824898,60
380,-204808.20458907005,202568.24774924107,28005.886252998695,67
381,-120994.08190381547,38101.71091218618,15821.639138731163,86
382,-244097.76866130356,296020.8181218615,34129.66328944002,58
383,-119344.34356897195,83268.52113694744,16944.015297874794,88
384,-177492.56819949285,202307.56789224574,27286.325221512077,83
385,-165963.9343914403,176206.55083755436,25621.598360790416,83
386,-186843.27803134383,202813.37047991477,27960.748240013116,72
387,-152602.5941205135,168680.15183676407,21841.16080585224,75
388,-140970.67225026214,157217.8952881789,22171.406674654438,89
389,-139259.27133855454,84941.58639178608,17023.630077159476,74
390,-196163.3219404592,242785.87520213143,29129.28066686021,74
391,-162326.44829944352,181976.86783938273,24829.86672074377,80
392,-198209.6436298986,222583.67616964746,28896.286036794878,80
393,-160945.1325206594,130034.63039163637,20891.600514702986,74
394,-189353.65727647848,205436.2202753802,26549.1471244127,74
395,-193390.97152946374,225718.4307628494,28095.489613176007,79
396,-136319.02014754896,91322.51636210339,18884.490437990513,75
397,-137151.72158453494,94602.38801618811,18679.2931638696,87
398,-246175.38257791853,284437.843518606,34030.91078879972,62
399,-117315.42570347029,32404.20389914876,15079.323337629572,80
400,-183957.48766517747,171891.16041162692,25461.23912942003,71
401,-210586.01849371186,209481.3414880648,29256.359573076403,70
402,-110956.25962075312,47291.334717175734,13473.314935081127,80
403,-186968.31597998692,193769.74376386625,27360.1500686516,82
404,-122506.76749893739,77357.71087513423,16047.315497022202,82
405,-146711.21257400437,89548.01783133931,18940.2087077322,72
406,-175074.92719901295,160374.13245753283,25098.351783589525,75
407,-144342.0812053138,99151.76407022325,18752.200757649982,75
408,-199075.68315008492,193515.71309413886,27883.22173030407,68
409,-174941.32136033397,176085.8161760923,26513.82175680383,88
410,-124419.08839020324,44800.500397181764,16314.403359528518,78
411,-131675.5812427834,96849.07465180298,17550.38704146277,78
412,-174202.52955637392,181418.69109196516,25623.68444661091,71
413,-135996.1587815742,81839.94790405437,17732.53796721888,78
414,-120381.15985399175,85114.30946652082,16155.495124215216,87
415,-224733.01186463443,288311.82371332083,34122.14369407341,74
416,-132889.14880956543,94925.29870894384,18081.81693278464,82
417,-144601.5389444532,105581.52239005623,18964.629928720457,80
418,-127523.11727246661,40115.97848189472,16047.576960015696,82
419,-107003.14988668312,61152.57646390711,13796.865991058838,85
420,-217179.67446907004,205697.0326933133,30240.45728123198,66
421,-187962.77885287517,183970.57431748908,26653.341749760246,73
422,-102851.6247792321,14072.81827945739,12585.409089100538,86
423,-112078.06234154348,19253.884552520085,14089.075408113442,82
424,-213410.05328410867,200198.71720592026,28810.821040904684,67
425,-101244.12133870227,3226.0667648718318,11345.378793588337,81
426,-185069.6366560008,172607.5059737768,25673.522494741017,78
427,-99823.99839940107,52523.70081633844,13397.58222684064,84
428,-117738.62394213436,20485.679819962505,13867.172244052106,84
429,-181356.863781669,215208.06057078697,26953.868563903896,83
430,-133902.4519770097,84059.444541878,17666.08799241399,79
431,-124583.02544051806,29541.408998647166,15283.521761239175,80
432,-211060.65726839233,226947.42602368075,30531.772118765704,68
433,-152006.6601055232,115502.66881036645,20038.522891170993,81
434,-124915.72733719896,65699.79533608955,15734.794459983883,76
435,-242572.80983340918,298192.2712172147,34629.943630020774,74
436,-136137.9281222588,69873.31064891089,16229.731662290287,78
437,-151309.96780916917,157895.03551088698,21692.639593159478,75
438,-191997.17053130208,179037.6855106776,26373.200998409062,65
439,-221264.9371209116,263915.9576026593,32754.23383434892,68
440,-196119.5391148724,191805.40145155636,27106.11286283893,66
441,-159743.71131745767,153997.98005033328,22223.735540226626,76
442,-226975.45168547542,282533.57083736063,33113.42962418136,69
443,-194592.0294190971,214136.95382887684,27487.848779273365,79
444,-113013.8465470162,75818.30299314272,15599.60924846859,80
445,-203046.45858476072,190878.4384275255,28568.490302238315,78
446,-102752.8992377742,46610.9671237471,12745.00715213561,82
447,-110373.36832113004,64132.4664631397,13895.95291609396,86
448,-202537.30358187688,171025.29067215047,26161.842793635526,65
449,-217363.16960970874,253127.85395549439,32414.725777826035,71
450,-124220.45191971489,86868.93095152586,16585.718601840337,84
451,-146028.03917253035,112384.87008822661,20960.489580857982,79
452,-115252.68380622202,30720.304954225066,14997.984492657557,78
453,-199889.6803883427,235246.528353413,29848.435886423256,77
454,-203325.69376545143,231239.97870322652,30656.829239502673,77
455,-189162.9279654795,207557.2551838955,28166.454951832628,75
456,-125662.70890236617,98597.41416085447,17177.76464038083,88
457,-187139.48427998155,184869.259190495,25563.09944903353,75
458,-154499.4984528047,128284.82011738124,21747.45666207941,83
459,-135331.6361820624,43785.45098586852,16370.310124830841,75
460,-187856.73156304983,214972.2713931742,29193.31738198942,85
461,-115731.46913171111,85874.73856885554,15921.825754589843,84
462,-199687.19394194777,181930.09629939593,25909.610323947327,64
463,-190091.24386919182,245580.65091288337,29578.797438389334,80
464,-149146.63168357126,146686.59046804992,22334.05703472385,78
465,-213021.64555468873,256720.0549566311,31889.408786732754,77
466,-211476.5529750587,191357.14902089705,27491.891555488528,70
467,-109424.22176620444,63272.91130924352,14583.992353367423,84
468,-147752.3563572454,107424.91002738623,19312.477030223698,83
469,-204675.97751564294,184923.470954156,26595.20688575394,59
470,-193604.16728361824,209514.32474082088,27451.933987044966,72
471,-154979.54648979194,129563.74375891821,21247.259019985035,80
472,-190874.85949449733,180443.10022781166,26232.937248567578,68
473,-202806.25565266024,191616.124800777,27314.594405751883,70
474,-139833.13087981945,80126.05383449813,17863.13052814262,83
475,-207812.2275976565,200370.84153313842,27653.208780938465,69
476,-231166.1704078316,292967.1633709096,34784.7023822865,74
477,-110116.25412754714,42123.506999566416,13081.45413148024,80
478,-188397.0769161128,194948.70824582322,26450.735631749365,75
479,-142817.64003932773,103191.07749678851,19311.328153717735,82
480,-157925.46803734894,146066.37459532262,21263.659359537894,81
481,-146301.39987044394,62935.92221516019,18605.0202605533,77
